City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Burnie,AU,2020-09-04 18:37:13,-41.07,145.92,46.99,92,76,5.01
96,Khatanga,RU,2020-09-04 18:37:13,71.97,102.5,35.64,91,10,8.01
97,Tagusao,PH,2020-09-04 18:37:14,9.19,117.81,80.65,78,13,3.04
98,Denpasar,ID,2020-09-04 18:37:14,-8.65,115.22,78.8,100,40,6.93
99,Nipawin,CA,2020-09-04 18:37:14,53.37,-104.0,62.6,51,20,10.29
100,Nanortalik,GL,2020-09-04 18:37:15,60.14,-45.24,45.43,88,100,14.67
101,Samarai,PG,2020-09-04 18:37:15,-10.62,150.67,77.45,87,98,15.79
102,Karasjok,NO,2020-09-04 18:37:15,69.47,25.51,59.0,87,75,27.51
103,Klaksvik,FO,2020-09-04 18:37:15,62.23,-6.59,48.2,100,100,17.22
104,Chuy,UY,2020-09-04 18:37:15,-33.7,-53.46,60.84,70,11,9.28
105,Pokhara,NP,2020-09-04 18:32:45,28.23,83.98,71.24,81,6,2.24
106,Kieta,PG,2020-09-04 18:37:16,-6.22,155.63,78.31,78,13,6.17
107,Mabaruma,GY,2020-09-04 18:37:16,8.2,-59.78,81.77,91,100,5.91
108,Saint George,US,2020-09-04 18:36:03,37.1,-113.58,96.01,9,1,3.36
109,Kodiak,US,2020-09-04 18:37:16,57.79,-152.41,51.8,62,1,3.36
110,Bathsheba,BB,2020-09-04 18:35:59,13.22,-59.52,87.8,74,75,17.22
111,Puerto Ayora,EC,2020-09-04 18:35:22,-0.74,-90.35,77.0,61,40,18.34
112,Lamar,US,2020-09-04 18:37:17,33.67,-95.58,84.99,74,40,3.36
113,Axim,GH,2020-09-04 18:37:17,4.87,-2.24,75.67,87,0,8.03
114,Cidreira,BR,2020-09-04 18:37:17,-30.18,-50.21,59.14,71,12,7.09
115,Tuatapere,NZ,2020-09-04 18:37:17,-46.13,167.68,45.0,72,0,11.01
116,Taoudenni,ML,2020-09-04 18:37:18,22.68,-3.98,98.58,28,54,23.26
