City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
85,Saint-Francois,FR,84.2,46.42,3.91,Manoir Du Bonheur
87,Souillac,MU,68.0,-20.52,57.52,Bils' Villa
90,Xuddur,SO,76.98,4.12,43.89,Banjanay Hotel
91,Butaritari,KI,82.38,3.07,172.79,Isles Sunset Lodge
92,Sabang,ID,82.6,5.89,95.32,Hotel Citra
93,Ciocarlia,RO,62.6,44.1,28.28,
94,Carnarvon,AU,64.4,-24.87,113.63,Hospitality Carnarvon
97,Tagusao,PH,80.65,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
98,Denpasar,ID,78.8,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
99,Nipawin,CA,62.6,53.37,-104.0,Tobin Lake Motel
101,Samarai,PG,77.45,-10.62,150.67,Nuli Sapi
104,Chuy,UY,60.84,-33.7,-53.46,Nuevo Hotel Plaza
105,Pokhara,NP,71.24,28.23,83.98,Hotel View Point
106,Kieta,PG,78.31,-6.22,155.63,
107,Mabaruma,GY,81.77,8.2,-59.78,
108,Saint George,US,96.01,37.1,-113.58,Best Western Plus Abbey Inn
110,Bathsheba,BB,87.8,13.22,-59.52,Atlantis Hotel
111,Puerto Ayora,EC,77.0,-0.74,-90.35,Finch Bay Galapagos Hotel
112,Lamar,US,84.99,33.67,-95.58,Kings Inn Paris TX
113,Axim,GH,75.67,4.87,-2.24,AXIM BEACH RESORT AND SPA
116,Taoudenni,ML,98.58,22.68,-3.98,
120,Gat,IL,93.0,31.61,34.76,OlusHome
122,Bambanglipuro,ID,76.66,-7.95,110.28,Puri Brata
123,Kafanchan,NG,71.02,9.58,8.3,Metro Guest
124,Altamont,US,82.99,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
125,Ameca,MX,80.01,20.55,-104.03,Hotel CATALINA
126,Georgetown,MY,78.8,5.41,100.34,Cititel Penang
128,Gela,IT,78.8,37.08,14.23,B&B Santiago
129,Shache,CN,69.89,38.42,77.24,Delong Hotel
132,Faya,SA,75.2,18.39,42.45,مقبرة ال مجمل
133,Usak,TR,69.06,38.5,29.42,
134,Guerrero Negro,MX,81.59,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
135,Innisfail,AU,66.27,-17.53,146.03,Moondarra Motel
138,Tanout,NE,89.82,14.97,8.89,
139,Skowhegan,US,78.01,44.77,-69.72,Kyes Motel
141,Wajima,JP,79.45,37.4,136.9,Wajiima Onsen Yashio
142,Vanimo,PG,78.3,-2.67,141.3,Vahmoneh Lodge Vanimo
145,Maceio,BR,80.6,-9.67,-35.74,Mercure Maceio Pajucara Hotel
146,Burlington,US,88.0,39.88,-74.64,Delanco Camp
147,Swan River,CA,63.48,52.11,-101.27,Super 8 by Wyndham Swan River MB
148,Nikolskoye,RU,63.0,59.7,30.79,Tourist House - Sablino
149,Pemba,MZ,75.2,-12.97,40.52,Guesthouse Samotina
150,Obera,AR,74.79,-27.49,-55.12,CABAÑAS DORALIA
151,Katsuura,JP,82.4,35.13,140.3,Katsuura Hotel Mikazuki
152,Venado Tuerto,AR,63.0,-33.75,-61.97,La Bianca.
154,Kruisfontein,ZA,69.01,-34.0,24.73,Oyster Bay House Rental
155,Poum,NC,68.9,-20.23,164.02,Gîte kajeon
157,Nalut,LY,92.21,30.33,10.85,
158,Portland,US,77.0,45.52,-122.68,Portland Marriott City Center
159,Abu Kamal,SY,86.65,34.45,40.92,محطة التلفاز
162,Bouillante,GP,86.0,16.13,-61.77,Gîtes Dardanelle
165,Kashi,CN,75.2,39.45,75.98,帕米尔青年旅舍
166,Hobyo,SO,76.93,5.35,48.53,Osmani Hotel
168,Playa Vicente,MX,77.5,17.83,-95.82,"Hotel ""Imperio"""
169,Luziania,BR,86.0,-16.25,-47.95,HOTEL SARON ÁGUAS CLARAS
171,Chapultepec,MX,62.6,19.2,-99.56,Mecánico Automotriz Braulio
173,Matamoros,MX,86.0,25.53,-103.25,Recreativo Sabdy Briseidy
175,Puerto Colombia,CO,77.0,10.99,-74.95,Hotel El Emigrante
176,Alugan,PH,78.37,12.22,125.48,BEMBEM RAIN FEED RESORT
177,Manavalakurichi,IN,84.2,8.13,77.3,Udaya Boys Hostel
179,Vilhena,BR,93.2,-12.74,-60.15,Hotel Mirage
180,Sirnak,TR,74.44,37.52,42.46,Şehr-i Nuh Otel
181,Temirgoyevskaya,RU,79.79,45.11,40.28,
182,Nemuro,JP,62.55,43.32,145.57,Hotel Nemuro Kaiyoutei
183,La Romana,DO,84.2,18.43,-68.97,Casa de Campo Resort and Villas
184,Kavaratti,IN,82.56,10.57,72.64,Hotels in Lakshadweep Islands
186,Yinchuan,CN,73.0,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
187,Boyolangu,ID,73.8,-8.12,111.89,Yos ega cv
191,Iquitos,PE,87.8,-3.75,-73.25,Cortez Malaga Techy Caroly
195,Mahanoro,MG,65.19,-19.9,48.8,Hôtel Mon Désir
197,Ponta Do Sol,PT,75.2,32.67,-17.1,Hotel do Campo
199,Inhambane,MZ,69.01,-23.86,35.38,Oceano
200,Zhuhai,CN,84.99,22.28,113.57,珠海粤财假日酒店
202,Port Macquarie,AU,63.0,-31.43,152.92,Rydges Port Macquarie
203,Jumla,NP,60.62,29.27,82.18,Hotel Sundar Rara Karnali
206,Kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
207,Pak Phanang,TH,81.0,8.35,100.2,Green Park Inn Hotel
208,Itaunja,IN,84.2,27.08,80.92,Shivanand Hotel
210,Tabou,CI,75.96,4.42,-7.35,hotêl doufoulougou
211,Touros,BR,80.6,-5.2,-35.46,INN NEW HORIZON
213,Marsh Harbour,BS,85.6,26.54,-77.06,Abaco Beach Resort
214,Shimoda,JP,72.0,34.67,138.95,Shimoda Tokyu Hotel
215,Naze,JP,80.6,28.37,129.48,奄美ポートタワーホテル
216,Visby,SE,64.0,57.64,18.3,Best Western Solhem Hotel Visby
218,Lompoc,US,71.6,34.64,-120.46,Holiday Inn Express Lompoc
219,Mendoza,AR,60.8,-32.89,-68.83,Hotel Mendoza
220,Monrovia,LR,80.6,6.3,-10.8,Eco-Hotel Hall & Restaurant
221,Rapid Valley,US,82.99,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
222,Anloga,GH,78.8,5.79,0.9,Dey Lodge
224,Jinchang,CN,71.28,38.5,102.17,Mingshihui Jinchang International Hotel
225,Redmond,US,78.01,47.67,-122.12,Seattle Marriott Redmond
226,Anshun,CN,65.05,26.25,105.93,安顺麦吉风格酒店
227,Sartana,UA,80.01,47.17,37.7,Сартана
229,Rozkishne,UA,74.48,48.5,37.59,
230,Bambous Virieux,MU,68.0,-20.34,57.76,Casa Tia Villa
231,Nampula,MZ,71.01,-15.12,39.27,Tacab Residencial
232,Hopkinsville,US,78.01,36.87,-87.49,Rodeway Inn
233,Copiapo,CL,60.8,-27.37,-70.33,Antay Casino Hotel
234,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
235,Qianjiang,CN,66.47,30.42,112.89,Shell Qianjiang City Qianjiang bus station Hotel
236,Margate,GB,64.0,51.38,1.39,Premier Inn Margate hotel
238,Kirakira,SB,77.45,-10.45,161.92,SanBiz Lodge
240,Carutapera,BR,83.73,-1.2,-46.02,Lidera
242,Hithadhoo,MV,82.6,-0.6,73.08,Scoop Guest House
245,Khash,IR,69.15,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
246,Dongli,CN,77.0,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
248,Bubaque,GW,79.9,11.28,-15.83,Casa Dora
251,Alpena,US,66.2,45.06,-83.43,Big Bear Lodge
252,Vila Velha,BR,82.4,-20.33,-40.29,Hotel Vitória Palace
253,Salinas,US,73.99,36.68,-121.66,Good Nite Inn Salinas Monterey
254,Ridgecrest,US,95.0,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
256,Gasa,PS,88.0,31.5,34.47,رابطة الفنانين الفلسطينيين
259,Lagoa,PT,71.82,39.05,-27.98,Casa Das Faias
262,Sao Sebastiao,BR,71.55,-23.76,-45.41,Hotel Recanto dos Pássaros
263,Salalah,OM,80.6,17.02,54.09,HAMDAN PLAZA HOTEL
264,Badou,TG,73.45,7.58,0.6,
