City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
572,Grindavik,63.84,-22.43,51.8,100,90,21.92,moderate rain
573,Comodoro Rivadavia,-45.87,-67.5,59.0,47,10,8.05,clear sky
574,Sao Miguel,-5.47,-35.37,86.0,51,75,11.41,broken clouds
575,Bahia Honda,22.9,-83.16,86.09,63,1,7.47,clear sky
576,Palora,-1.7,-77.93,77.0,78,40,2.24,scattered clouds
577,Okha,53.57,142.95,56.39,94,37,4.65,scattered clouds
578,Tebingtinggi,3.33,99.16,74.46,92,100,2.66,overcast clouds
579,Egvekinot,66.32,-179.17,34.23,92,21,1.61,few clouds
580,Turukhansk,65.82,87.98,45.0,87,100,5.82,overcast clouds
581,Galveston,29.37,-94.97,86.0,74,1,6.93,clear sky
582,Trincomalee,8.57,81.23,79.56,79,71,22.32,broken clouds
583,Zhezkazgan,47.8,67.71,51.8,32,1,8.95,clear sky
584,Ampanihy,-24.7,44.75,64.87,66,0,15.88,clear sky
585,San Jose De Gracia,20.67,-102.58,66.76,82,100,6.33,overcast clouds
586,Shubarkuduk,49.14,56.49,65.93,27,83,6.93,broken clouds
587,Miri,4.41,114.01,78.8,94,40,3.36,scattered clouds
588,Quatis,-22.41,-44.26,90.1,27,62,3.33,broken clouds
589,Sal Rei,16.18,-22.92,78.42,81,100,12.08,overcast clouds
590,Milkovo,54.72,158.62,46.74,94,100,1.36,light rain
591,Khingansk,49.12,131.18,54.1,96,0,2.46,clear sky
592,Paka,4.64,103.44,80.6,88,84,8.68,broken clouds
593,Puri,19.8,85.85,84.2,89,40,4.7,haze
594,Yining,29.04,114.56,69.49,80,5,0.49,clear sky
595,Edea,3.8,10.13,84.2,74,75,3.36,thunderstorm
596,San Pedro,14.35,121.02,84.2,79,100,5.82,overcast clouds
597,Bonavista,48.65,-53.11,61.52,62,36,3.2,scattered clouds
598,Muisne,0.6,-80.03,78.8,83,75,10.29,broken clouds
599,Salinopolis,-0.61,-47.36,84.16,71,18,15.01,few clouds
600,Nouadhibou,20.93,-17.03,89.6,55,100,14.99,light rain
601,Mahibadhoo,3.78,72.97,82.85,75,100,14.05,overcast clouds
602,Beipiao,41.79,120.78,64.67,93,0,2.1,clear sky
603,Saint-Marc,19.11,-72.69,86.23,65,29,4.07,scattered clouds
604,Garissa,-0.45,39.64,83.62,43,67,19.73,broken clouds
605,Emerald,-23.53,148.17,66.2,77,7,8.05,clear sky
606,Pafos,34.77,32.42,84.2,70,20,8.05,few clouds
607,Mayo,38.89,-76.51,81.0,54,1,4.7,clear sky
608,Benicarlo,40.42,0.43,80.01,56,0,7.0,clear sky
609,San Policarpo,12.18,125.51,81.3,85,58,5.41,broken clouds
610,Yerbogachen,61.28,108.01,52.59,94,100,7.43,overcast clouds
611,Gat,31.61,34.76,87.01,60,0,12.53,clear sky
612,Taltal,-25.4,-70.48,64.06,53,27,5.88,scattered clouds
613,Sile,41.18,29.61,77.0,60,0,1.99,clear sky
614,Te Anau,-45.42,167.72,34.83,88,10,1.66,clear sky
615,Bosaso,11.28,49.18,88.0,61,35,3.96,scattered clouds
616,Kenda,23.2,86.53,82.09,77,99,5.66,overcast clouds
617,Bilma,18.69,12.92,103.98,10,10,6.15,clear sky
618,Waspan,14.74,-83.97,86.0,79,75,6.93,broken clouds
619,Mackenzie,55.3,-123.17,51.8,93,90,1.95,overcast clouds
